"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"272","Bullimus",9791,1.67984421859995,3,2.88,2.91,1.92,3.95
"273","Bunomys",9767,3.87983266041999,8,4.68,4.71,3.25,6.04
"274","Cabassous",11356,8.66979109899998,4,9.05,9.14,2.01,16.52
"275","Cacajao",8599,2.13873063599996,4,2.31,2.32,1.35,3.22
"276","Caenolestes",11464,13.597527511,5,11.4,11.43,7.88,15.15
"277","Calcochloris",11460,3.73557597999999,2,2.26,2.87,0.06,7.25
"278","Callicebus",8546,7.79709316599994,33,8.13,8.62,5.58,13.23
"279","Callithrix",8626,4.274943976,6,5.37,5.52,3.85,7.59
"280","Callosciurus",8930,9.03875369789995,15,8.81,8.86,6.75,11.01
"281","Callospermophilus",9079,3.05829796399996,3,2.33,2.36,1.33,3.38
"282","Calomys",10868,8.87661237059993,14,9.13,9.22,7.47,11.13
"283","Calomyscus",11081,31.188003734,8,25.99,26.6,4.65,48.96
"284","Caluromys",11572,6.97439880499996,3,7.35,7.4,4.85,10.23
"285","Camelus",6442,3.05838678399996,3,2.68,2.77,1.58,4.01
"286","Canis",6941,3.20662566469994,8,3.47,3.49,2.57,4.51
"287","Capra",6754,3.85505916229999,10,3.45,3.47,2.36,4.51
"288","Capreolus",6628,1.00719893289994,2,1.47,1.48,0.47,2.57
"289","Capricornis",6740,3.18642428539999,6,2.46,2.54,1.4,3.8
"290","Caracal",6875,3.17861143079995,2,3.33,3.36,2.08,4.71
"291","Carollia",7812,7.12851929180007,7,6.4,6.45,4.73,8.36
"292","Carpomys",9671,0.953329397999937,2,1.35,2.2,0.01,7.14
"293","Caryomys",10447,4.21210812719994,2,3.71,3.73,2.48,5.07
"294","Casinycteris",8310,3.85957724900001,3,3.62,3.68,2.24,5.16
"295","Castor",11246,3.49820501399995,2,4.07,4.13,2.51,5.98
"296","Catopuma",6899,2.63118835247997,2,2.34,2.38,1.06,3.77
"297","Cavia",9246,6.12393143699992,7,4.51,4.69,2.66,6.68
"298","Cebus",8664,1.63473688399995,4,1.74,1.83,0.81,3.03
"299","Centronycteris",7148,6.40928669099995,2,7.27,7.35,4.53,10
"300","Cephalophus",6717,6.48214472889998,15,5.76,5.78,4.13,7.34
"301","Cephalorhynchus",6553,1.51497800071994,4,1.22,1.23,0.6,1.79
"302","Cercartetus",11684,24.474914232,4,15.85,15.94,11.21,20.46
"303","Cercocebus",8813,4.03920333449994,6,3.44,3.47,2.4,4.58
"304","Cercopithecus",8828,7.05853387459996,19,6.34,6.39,5.07,7.76
"305","Cerradomys",10955,5.53402928383997,8,6.39,6.44,4.8,8.12
"306","Cervus",6597,1.50936862069997,4,2.09,2.12,1.4,2.92
"307","Chaerephon",7183,8.85519662584997,17,7.12,7.24,5.23,9.43
"308","Chaetodipus",11230,12.8213351089999,17,11.76,11.81,9.46,14.33
"309","Chaetophractus",11349,3.82129094619995,3,3.55,3.67,1.32,6.14
"310","Chalinolobus",7302,15.0344309382,7,NA,15.03,NA,NA
"311","Cheirogaleus",8505,7.81939533799996,6,8.55,8.67,6.46,11.18
"312","Cheiromeles",7180,0.644869127999954,2,1.85,3.25,0.02,11.56
"313","Chelemys",10811,6.61374195729994,3,6.57,6.58,5.03,8.15
"314","Chibchanomys",10633,0.522986959099967,2,0.89,1.5,0,5.19
"315","Chilonatalus",7172,6.79684613099997,2,6.92,6.98,4.47,9.66
"316","Chimarrogale",6247,7.64181611349997,6,7.74,7.82,5.45,10.43
"317","Chinchilla",9277,2.04587922399995,2,2.01,2.08,0.78,3.51
"318","Chionomys",10323,7.24916191619994,3,6.58,6.6,4.94,8.47
"319","Chiroderma",7858,3.88033760340005,6,4.11,4.24,2.64,6.04
"320","Chiromyscus",9753,6.37647495339993,3,7.1,7.13,5.35,8.84
"321","Chiropodomys",10099,7.77689865269994,6,8.11,9.2,1.21,19.56
"322","Chiropotes",8595,2.27966999099993,4,2.22,2.27,1.21,3.44
"323","Chiruromys",10110,4.45629943519995,3,3.12,4.15,0.14,11.46
"324","Chlorocebus",8836,1.83003374179995,6,2.6,2.65,1.77,3.67
"325","Chlorotalpa",11457,2.07546138699999,2,1.53,1.8,0.12,4.25
"326","Chodsigoa",6239,7.01656182349998,8,7.03,7.36,4.28,11.61
"327","Choeroniscus",7956,1.41078482579002,3,1.15,1.54,0.2,3.75
"328","Choloepus",11365,5.41619762499997,2,6.3,6.47,2.75,10.4
"329","Chrotomys",10268,5.15414057479995,5,5.05,5.07,3.73,6.46
"330","Chrysochloris",11444,8.25932279200001,3,8.14,8.54,3.53,14.65
"331","Chrysospalax",11459,0.943757288,2,2.43,2.94,0.05,7.25
"332","Cistugo",7288,0.552971915999962,2,0.68,0.74,0.13,1.49
"333","Clyomys",9369,4.44051601699994,2,1.32,1.72,0.01,4.57
"334","Coccymys",10117,1.72444706709996,3,2.14,2.9,0.03,7.81
"335","Coelops",8174,2.72197768800001,3,3.57,3.87,1.52,7.29
"336","Coendou",9255,6.23147611599995,15,4.72,4.8,3.18,6.38
"337","Coleura",7159,3.75682672199994,3,3.19,3.25,1.71,4.91
"338","Colobus",8783,2.31593125699996,5,2.56,2.72,1.41,4.35
"339","Conepatus",7073,4.94009702499997,4,4.36,4.54,1.99,7.32
"340","Congosorex",5990,7.79030713199998,3,5.13,7.12,0.12,20.4
"341","Conilurus",10209,3.56955859119995,2,1.06,1.52,0.01,4.43
"342","Connochaetes",6773,0.539062817999962,2,0.78,0.83,0.1,1.52
"343","Corynorhinus",7487,4.23251536699996,3,6.32,6.35,3.64,8.92
"344","Crateromys",9677,3.64431326879995,4,4.02,4.4,0.52,9.09
"345","Cratogeomys",11200,4.89712925089992,7,4.18,4.22,3.03,5.49
"346","Cremnomys",9979,0.363481830399934,2,1.49,2.89,0.01,10.98
"347","Cricetomys",11023,4.00874357199999,2,6.35,6.47,2.98,10.22
"348","Cricetulus",10449,22.141058724,8,22.95,23,19.68,26.6
"349","Crocidura",6031,15.0468531535,192,13.62,13.59,10.99,16.3
"350","Crossarchus",6862,2.23459904699996,4,1.86,1.89,1.14,2.76
"351","Crunomys",9707,2.47811253199995,4,3.29,3.45,1.94,5.44
"352","Cryptochloris",11447,0.289156228000024,2,1.54,1.89,0.04,4.73
"353","Cryptonanus",11516,5.21720730499993,5,5.37,6.25,2.91,13.76
"354","Cryptoprocta",6832,0.973449106699945,2,1.8,2.65,0.03,7.95
"355","Cryptotis",6269,14.186496965,38,12.21,12.92,8.71,19.42
"356","Ctenodactylus",9180,1.29914560799998,2,1.69,1.78,0.52,3.2
"357","Ctenomys",9394,5.82704412899994,65,5.84,6.77,3.61,13.3
