Order,Family,Genus,Species,Binomial name,Extinct or extant,Island endemicity: Strict definition,IslandEndemic_strict,Island endemicity: Classical definition,IslandEndemic_classic,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,rufus,Microcebus_rufus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,sambiranensis,Microcebus_sambiranensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,simmonsi,Microcebus_simmonsi,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Microcebus,tavaratra,Microcebus_tavaratra,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Mirza,coquereli,Mirza_coquereli,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Mirza,zaza,Mirza_zaza,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Phaner,electromontis,Phaner_electromontis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Phaner,furcifer,Phaner_furcifer,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Phaner,pallescens,Phaner_pallescens,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CHEIROGALEIDAE,Phaner,parienti,Phaner_parienti,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Abrothrix,hershkovitzi,Abrothrix_hershkovitzi,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Abrothrix,markhami,Abrothrix_markhami,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Aegialomys,galapagoensis,Aegialomys_galapagoensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Dicrostonyx,unalascensis,Dicrostonyx_unalascensis,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Dicrostonyx,vinogradovi,Dicrostonyx_vinogradovi,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Ekbletomys,hypenemus,Ekbletomys_hypenemus,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Lemmus,portenkoi,Lemmus_portenkoi,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Megalomys,audreyae,Megalomys_audreyae,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Megalomys,desmarestii,Megalomys_desmarestii,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Megalomys,georginae,Megalomys_georginae,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Megalomys,luciae,Megalomys_luciae,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Megaoryzomys,curioi,Megaoryzomys_curioi,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Megaoryzomys,Sp_Now,Megaoryzomys_Sp_Now,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Mesocricetus,rathgeberi,Mesocricetus_rathgeberi,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Microtus,abbreviatus,Microtus_abbreviatus,Extant,Not occuring on any landbridge island larger than 1000 km2,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Microtus,breweri,Microtus_breweri,Extant,Not occuring on any landbridge island larger than 1000 km2,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Microtus,henseli,Microtus_henseli,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Microtus,kikuchii,Microtus_kikuchii,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Microtus,montebelli,Microtus_montebelli,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Microtus,sachalinensis,Microtus_sachalinensis,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Myodes,andersoni,Myodes_andersoni,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Myodes,rex,Myodes_rex,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Myodes,smithii,Myodes_smithii,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Neotoma,anthonyi,Neotoma_anthonyi,Extinct,Not occuring on any landbridge island larger than 1000 km2,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Neotoma,bryanti,Neotoma_bryanti,Extant,Not occuring on any landbridge island larger than 1000 km2,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Neotoma,bunkeri,Neotoma_bunkeri,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Neotoma,martinensis,Neotoma_martinensis,Extinct,Not occuring on any landbridge island larger than 1000 km2,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,darwini,Nesoryzomys_darwini,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,fernandinae,Nesoryzomys_fernandinae,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,indefessus,Nesoryzomys_indefessus,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,narboroughi,Nesoryzomys_narboroughi,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,Sp_B,Nesoryzomys_Sp_B,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,Sp_C,Nesoryzomys_Sp_C,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,Sp_D,Nesoryzomys_Sp_D,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Nesoryzomys,swarthi,Nesoryzomys_swarthi,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Noronhomys,vespuccii,Noronhomys_vespuccii,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Oligoryzomys,victus,Oligoryzomys_victus,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Oryzomys,antillarum,Oryzomys_antillarum,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Oryzomys,curasoae,Oryzomys_curasoae,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CRICETIDAE,Oryzomys,nelsoni,Oryzomys_nelsoni,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
